scheme,regime,n_paths,n_steps,impl,backend,device,reps,wall_s,paths_steps_per_s,includes_rng
FTE,B,1000,512,numpy,cpu,host,3,0.0746418999042362,6859418.110429718,True
FTE,B,1000,512,jax,cpu,cpu:0,3,0.2465203998144716,2076907.2270908423,True
FTE,B,10000,512,numpy,cpu,host,3,0.6667823998723179,7678666.984882067,True
FTE,B,10000,512,jax,cpu,cpu:0,3,0.502308800118044,10192933.109666375,True
FTE,B,50000,512,numpy,cpu,host,3,2.6718381999526173,9581418.515707273,True
FTE,B,50000,512,jax,cpu,cpu:0,3,1.8634271000046283,13738127.990054676,True
ProjEuler,B,1000,512,numpy,cpu,host,3,0.09603060013614595,5331633.867476821,True
ProjEuler,B,1000,512,jax,cpu,cpu:0,3,0.27007420011796057,1895775.3083277605,True
ProjEuler,B,10000,512,numpy,cpu,host,3,0.47795079997740686,10712399.686833931,True
ProjEuler,B,10000,512,jax,cpu,cpu:0,3,0.33195560006424785,15423749.438205162,True
ProjEuler,B,50000,512,numpy,cpu,host,3,2.3634773001540452,10831498.148229077,True
ProjEuler,B,50000,512,jax,cpu,cpu:0,3,1.5291673000901937,16741137.479522387,True
KL,B,1000,512,numpy,cpu,host,3,0.08507779985666275,6018021.162543068,True
KL,B,1000,512,jax,cpu,cpu:0,3,0.2141181998886168,2391202.6173690036,True
KL,B,10000,512,numpy,cpu,host,3,0.47920110006816685,10684449.595945574,True
KL,B,10000,512,jax,cpu,cpu:0,3,0.30036940006539226,17045677.751746166,True
KL,B,50000,512,numpy,cpu,host,3,2.1059554000385106,12156002.923676288,True
KL,B,50000,512,jax,cpu,cpu:0,3,1.6482770000584424,15531370.030093431,True
KLM,B,1000,512,numpy,cpu,host,3,0.44255599984899163,1156915.7353525972,True
KLM,B,1000,512,jax,cpu,cpu:0,3,0.7711301001254469,663960.594868114,True
KLM,B,10000,512,numpy,cpu,host,3,1.325389700010419,3863014.779698191,True
KLM,B,10000,512,jax,cpu,cpu:0,3,1.0991173000074923,4658283.51529459,True
KLM,B,50000,512,numpy,cpu,host,3,6.960412100190297,3677943.149271305,True
KLM,B,50000,512,jax,cpu,cpu:0,3,2.857548899948597,8958726.830697633,True
BLT,B,1000,512,numpy,cpu,host,3,0.0920331000816077,5563215.8380625965,True
BLT,B,1000,512,jax,cpu,cpu:0,3,0.19144940003752708,2674335.881437288,True
BLT,B,10000,512,numpy,cpu,host,3,0.9153136000968516,5593711.269512701,True
BLT,B,10000,512,jax,cpu,cpu:0,3,0.44129079999402165,11602326.629219016,True
BLT,B,50000,512,numpy,cpu,host,3,2.967230800073594,8627572.886937229,True
BLT,B,50000,512,jax,cpu,cpu:0,3,2.10020300000906,12189297.891627412,True
