regime,scheme,backstop,reference,dt,l1,l2,mean_steps_per_path,backstop_fraction,runtime_s
C,KLM,implicit,HH,0.0625,9.641164692021792e-05,0.00015037012929908,172.8703,0.05602350432665414,4.6334515000125975
C,KLM,implicit,HH,0.03125,4.839458163426664e-05,7.46443435220486e-05,346.21435,0.053874427793070966,5.230972700017446
C,KLM,implicit,HH,0.015625,2.429768131005563e-05,3.741868197683956e-05,696.69835,0.05238544055687802,6.172662600009062
C,KLM,implicit,HH,0.0078125,1.2057134226136443e-05,1.8390794050017323e-05,1413.41115,0.05094034386243521,7.9123178999871016
C,KLM,implicit,HH,0.00390625,6.018200192196192e-06,9.37728846401358e-06,2915.80425,0.04897547563420967,12.093710400004056
C,KLM,implicit,HH,0.001953125,2.9216292097091475e-06,4.7151335801548675e-06,6251.4799,0.045495939289511275,20.246941100005643
C,KLM,projected,HH,0.0625,0.00010760296691966779,0.0007426682952277284,172.0738,0.05048153757283212,4.6087779000081355
C,KLM,projected,HH,0.03125,5.1314262390381304e-05,8.053871336255118e-05,345.34835,0.05079856324780472,5.011654999987513
C,KLM,projected,HH,0.015625,2.5666296587980735e-05,4.0290089848196654e-05,695.7563,0.050674424363818193,5.971680100003141
C,KLM,projected,HH,0.0078125,1.2581190668774001e-05,1.969194950487399e-05,1412.3989,0.05001448245251395,7.693048999986786
C,KLM,projected,HH,0.00390625,6.086030055194089e-06,9.60829893973698e-06,2914.721,0.048484743479736137,11.478626600001007
C,KLM,projected,HH,0.001953125,2.722162597318616e-06,4.306053049952141e-06,6250.37735,0.04524723615287003,20.10228669999924
C,KLM,blt,HH,0.0625,9.773429257530015e-05,0.00015452913374837504,172.47955,0.05307324839379509,5.05249090000143
C,KLM,blt,HH,0.03125,4.850867020353497e-05,7.615557631854578e-05,345.7873,0.05228271830688981,5.3857500000085565
C,KLM,blt,HH,0.015625,2.405738409974028e-05,3.781429070336495e-05,696.23465,0.05149700607402978,6.61891239999386
C,KLM,blt,HH,0.0078125,1.1744153184302524e-05,1.8249642267129916e-05,1412.90875,0.05047360631038628,8.871985999991011
C,KLM,blt,HH,0.00390625,5.683205532930569e-06,8.970307607422663e-06,2915.27355,0.04872709115067435,13.836894200001552
C,KLM,blt,HH,0.001953125,2.6147653462937453e-06,4.137005146315637e-06,6250.9373,0.04537289951700523,23.628076799992414
D,KLM,projected,HH,0.0625,0.0008411388097326293,0.001452956243930439,316.47015,0.35850995741620495,7.559027699986473
D,KLM,projected,HH,0.03125,0.0005699298168716293,0.0010155799438576136,653.03195,0.38014740320132884,9.453656500016223
D,KLM,projected,HH,0.015625,0.0003781633507226657,0.0007022070006062751,1342.4355,0.3967713532605477,11.786835299993982
D,KLM,projected,HH,0.0078125,0.00024501094157063617,0.0004618023203674481,2763.47115,0.4048120603683523,15.334270599996671
D,KLM,projected,HH,0.00390625,0.00013645583390801315,0.0002836893506242388,5748.2452,0.4022248737753915,24.430489999998827
D,KLM,projected,HH,0.001953125,8.529253263427604e-05,0.00016431151175227662,12297.26955,0.3854462147656184,50.109511499998916
D,KLM,blt,HH,0.0625,0.0010213053724536794,0.0017020942582945697,309.15715,0.3357295796005365,7.673774000002595
D,KLM,blt,HH,0.03125,0.0007415922073208263,0.0012838663844165243,640.2294,0.36019167504647553,8.9128297999996
D,KLM,blt,HH,0.015625,0.0005012472089466092,0.0009044882854292572,1321.96275,0.3810068400187524,13.763565499990364
D,KLM,blt,HH,0.0078125,0.00032211473533364936,0.000593252134534751,2731.30195,0.3925492199791385,20.823781399994914
D,KLM,blt,HH,0.00390625,0.0001876515542761788,0.00035792334149463846,5699.3547,0.3927933016697487,35.55816899999627
D,KLM,blt,HH,0.001953125,1.0831176795830388e-05,5.276196990551199e-05,12224.57955,0.3782576145941968,63.19531159999315
E,KLM,projected,HH,0.0625,0.003760437696923785,0.008936257048540699,393.2598,0.4819390387728418,7.521017799997935
E,KLM,projected,HH,0.03125,0.0025832471335489795,0.0067790773611079505,845.92225,0.5115348957897726,9.674337500007823
E,KLM,projected,HH,0.015625,0.0017675001304327757,0.0051808533078305605,1790.57895,0.5463031105107093,13.552464499996859
E,KLM,projected,HH,0.0078125,0.0011760038264136503,0.0039434437566001805,3770.40405,0.5744558994943791,20.885087400005432
E,KLM,projected,HH,0.00390625,0.0006598789346582505,0.002974372502115893,7944.989,0.5869121404699239,33.709700799998245
E,KLM,projected,HH,0.001953125,0.0009757807225052593,0.0035004657333922817,16959.8729,0.5814470461037476,65.35984870000539
E,KLM,blt,HH,0.0625,0.004669716981235406,0.010470790127632173,365.6959,0.43192649958613155,7.621635100003914
E,KLM,blt,HH,0.03125,0.003612179239030783,0.00862587882011629,786.59035,0.45321061973363896,10.599557800000184
E,KLM,blt,HH,0.015625,0.0027252274449254196,0.0071487362801832734,1676.36845,0.4889502066207462,14.927250800006732
E,KLM,blt,HH,0.0078125,0.00184483092435574,0.0054412291681942265,3567.89555,0.5254963811931097,23.19178180000017
E,KLM,blt,HH,0.00390625,0.001083444010321009,0.0036181353067921288,7602.376,0.5460908800090919,41.635930599994026
E,KLM,blt,HH,0.001953125,6.0341451801518056e-05,0.0004424948588455302,16404.5005,0.5470166281503055,81.21142690000124
