beta,regime,sigma,dt,l1,l2,terminal_mean,exact_mean,rel_mean_error,n_paths
0.5,B,0.2,0.125,0.0014648086143720022,0.0020429330577690337,0.02070234562100398,0.02,0.035117281050199046,20000
0.5,B,0.2,0.0625,0.0006995842034077329,0.0009691162749085836,0.02033689056033014,0.02,0.016844528016506967,20000
0.5,B,0.2,0.03125,0.00033704403827569234,0.00046779764123130036,0.020167274529897344,0.02,0.008363726494867163,20000
0.5,B,0.2,0.015625,0.00016482248712023062,0.00022656266539040706,0.02008724322446664,0.02,0.004362161223332023,20000
0.5,B,0.2,0.0078125,8.100372916464813e-05,0.0001124513061360863,0.020048737443522657,0.02,0.0024368721761328094,20000
0.5,B,0.2,0.00390625,3.918296578180567e-05,5.424262562451308e-05,0.02002958943200607,0.02,0.0014794716003034905,20000
0.75,B,0.2,0.125,0.0005171780759092487,0.0006654426830774864,0.0201243999317122,0.02,0.006219996585610059,20000
0.75,B,0.2,0.0625,0.0002477001000164374,0.00031770208840482757,0.0200625311328911,0.02,0.003126556644554926,20000
0.75,B,0.2,0.03125,0.00012065405321189855,0.00015541268765348974,0.020035073605249466,0.02,0.001753680262473259,20000
0.75,B,0.2,0.015625,5.956880364388153e-05,7.615598363327443e-05,0.020022029301125833,0.02,0.00110146505629162,20000
0.75,B,0.2,0.0078125,2.936355800214614e-05,3.7681741364977153e-05,0.020015576679867822,0.02,0.0007788339933910773,20000
0.75,B,0.2,0.00390625,1.4261641852050882e-05,1.8327256152557623e-05,0.02001236659566348,0.02,0.0006183297831740056,20000
