sigma,alpha,method,metric,batch,rate,backend
0.3,0.00875,Fully Truncated,L1,0,0.8329331423548241,cpu
0.3,0.00875,Fully Truncated,L1,1,0.3661380002123946,cpu
0.3,0.00875,Fully Truncated,L1,2,0.2975137495224876,cpu
0.3,0.00875,Fully Truncated,L2,0,1.1206845006750308,cpu
0.3,0.00875,Fully Truncated,L2,1,0.1377987642312015,cpu
0.3,0.00875,Fully Truncated,L2,2,0.32826463077286205,cpu
0.3,0.00875,Implicit,L1,0,0.8716285573326841,cpu
0.3,0.00875,Implicit,L1,1,0.5562257565646275,cpu
0.3,0.00875,Implicit,L1,2,0.6580270537651134,cpu
0.3,0.00875,Implicit,L2,0,1.0806437139096452,cpu
0.3,0.00875,Implicit,L2,1,0.5241341405894823,cpu
0.3,0.00875,Implicit,L2,2,0.7264123301855565,cpu
0.3,0.00875,Milstein,L1,0,0.2261335003138384,cpu
0.3,0.00875,Milstein,L1,1,0.628092287510599,cpu
0.3,0.00875,Milstein,L1,2,1.3103292905696018,cpu
0.3,0.00875,Milstein,L2,0,0.16196934097493687,cpu
0.3,0.00875,Milstein,L2,1,1.1975650677998202,cpu
0.3,0.00875,Milstein,L2,2,1.3239313184543136,cpu
0.3,0.00875,Projected,L1,0,0.448809127076384,cpu
0.3,0.00875,Projected,L1,1,0.5211899820309712,cpu
0.3,0.00875,Projected,L1,2,0.4740916320809256,cpu
0.3,0.00875,Projected,L2,0,0.43460686837854584,cpu
0.3,0.00875,Projected,L2,1,0.5205341216193946,cpu
0.3,0.00875,Projected,L2,2,0.4701873116310787,cpu
0.3,0.00875,Splitting,L1,0,1.0721618301502316,cpu
0.3,0.00875,Splitting,L1,1,0.9718283758077768,cpu
0.3,0.00875,Splitting,L1,2,0.35534224079864646,cpu
0.3,0.00875,Splitting,L2,0,1.350697189177094,cpu
0.3,0.00875,Splitting,L2,1,0.9250311058137948,cpu
0.3,0.00875,Splitting,L2,2,0.6165371947698877,cpu
0.3,0.00875,Splitting/Adaptive,L1,0,1.0721618301502316,cpu
0.3,0.00875,Splitting/Adaptive,L1,1,0.9718283758077768,cpu
0.3,0.00875,Splitting/Adaptive,L1,2,0.35534224079864646,cpu
0.3,0.00875,Splitting/Adaptive,L2,0,1.350697189177094,cpu
0.3,0.00875,Splitting/Adaptive,L2,1,0.9250311058137948,cpu
0.3,0.00875,Splitting/Adaptive,L2,2,0.6165371947698877,cpu
0.5,-0.01125,Fully Truncated,L1,0,-0.4536891307448453,cpu
0.5,-0.01125,Fully Truncated,L1,1,-0.5911685212538905,cpu
0.5,-0.01125,Fully Truncated,L1,2,0.2863995329853278,cpu
0.5,-0.01125,Fully Truncated,L2,0,0.0342595358648364,cpu
0.5,-0.01125,Fully Truncated,L2,1,-0.5006425560905098,cpu
0.5,-0.01125,Fully Truncated,L2,2,0.012021299914710716,cpu
0.5,-0.01125,Implicit,L1,0,nan,cpu
0.5,-0.01125,Implicit,L1,1,nan,cpu
0.5,-0.01125,Implicit,L1,2,nan,cpu
0.5,-0.01125,Implicit,L2,0,nan,cpu
0.5,-0.01125,Implicit,L2,1,nan,cpu
0.5,-0.01125,Implicit,L2,2,nan,cpu
0.5,-0.01125,Milstein,L1,0,0.401208903624089,cpu
0.5,-0.01125,Milstein,L1,1,0.8732135456037539,cpu
0.5,-0.01125,Milstein,L1,2,0.9777985158778958,cpu
0.5,-0.01125,Milstein,L2,0,0.6621728491407496,cpu
0.5,-0.01125,Milstein,L2,1,0.9182254129435959,cpu
0.5,-0.01125,Milstein,L2,2,1.131114031445781,cpu
0.5,-0.01125,Projected,L1,0,0.4880947074756573,cpu
0.5,-0.01125,Projected,L1,1,0.4462746726276729,cpu
0.5,-0.01125,Projected,L1,2,0.3950146530232104,cpu
0.5,-0.01125,Projected,L2,0,0.48785240303892086,cpu
0.5,-0.01125,Projected,L2,1,0.44698238573722865,cpu
0.5,-0.01125,Projected,L2,2,0.3871695721356311,cpu
0.5,-0.01125,Splitting/Adaptive,L1,0,0.2609434912708182,cpu
0.5,-0.01125,Splitting/Adaptive,L1,1,1.1058390560109093,cpu
0.5,-0.01125,Splitting/Adaptive,L1,2,0.7212605966100544,cpu
0.5,-0.01125,Splitting/Adaptive,L2,0,0.19844210116276173,cpu
0.5,-0.01125,Splitting/Adaptive,L2,1,0.7851690330232962,cpu
0.5,-0.01125,Splitting/Adaptive,L2,2,0.7539147186914417,cpu
