kappa,a,reference_power,fitted_order,sensitivity_kind
0.2,0.0,14,0.9786338298425972,klm_fig3_jax
0.2,0.0,16,0.992938588337292,klm_fig3_jax
0.2,0.0,18,0.9982935515354258,klm_fig3_jax
0.2,0.04,14,0.9958470923966496,klm_fig3_jax
0.2,0.04,16,0.9980205613082882,klm_fig3_jax
0.2,0.04,18,1.0026603753261134,klm_fig3_jax
0.2,0.26285714285714284,14,0.9669336248127924,klm_fig3_jax
0.2,0.26285714285714284,16,1.0002396760102232,klm_fig3_jax
0.2,0.26285714285714284,18,1.001621420852077,klm_fig3_jax
0.2,0.4857142857142857,14,1.006332234760832,klm_fig3_jax
0.2,0.4857142857142857,16,1.039635256238433,klm_fig3_jax
0.2,0.4857142857142857,18,1.0139176902735398,klm_fig3_jax
0.2,0.7085714285714286,14,1.003715266506413,klm_fig3_jax
0.2,0.7085714285714286,16,1.0109374346708717,klm_fig3_jax
0.2,0.7085714285714286,18,1.0123186918947737,klm_fig3_jax
0.2,0.9314285714285715,14,0.9613735030643685,klm_fig3_jax
0.2,0.9314285714285715,16,0.9825301002674538,klm_fig3_jax
0.2,0.9314285714285715,18,0.9754657446813678,klm_fig3_jax
0.2,1.1542857142857144,14,0.9863920349248055,klm_fig3_jax
0.2,1.1542857142857144,16,0.9832042079329297,klm_fig3_jax
0.2,1.1542857142857144,18,1.019825378884142,klm_fig3_jax
0.2,1.3771428571428572,14,1.049823570377528,klm_fig3_jax
0.2,1.3771428571428572,16,0.9511447329099117,klm_fig3_jax
0.2,1.3771428571428572,18,0.8501336547975709,klm_fig3_jax
0.2,1.6,14,1.0871781269717125,klm_fig3_jax
0.2,1.6,16,0.8861696761632238,klm_fig3_jax
0.2,1.6,18,0.7631292990052357,klm_fig3_jax
2.0,0.0,14,0.9812286232808473,klm_fig3_jax
2.0,0.0,16,0.9946119573766553,klm_fig3_jax
2.0,0.0,18,0.9986816363412567,klm_fig3_jax
2.0,0.04,14,0.9842602704691962,klm_fig3_jax
2.0,0.04,16,0.9967704087653253,klm_fig3_jax
2.0,0.04,18,0.9993997268059249,klm_fig3_jax
2.0,0.26285714285714284,14,1.003596034070761,klm_fig3_jax
2.0,0.26285714285714284,16,1.008477502156062,klm_fig3_jax
2.0,0.26285714285714284,18,1.0034696602464734,klm_fig3_jax
2.0,0.4857142857142857,14,0.967137812515261,klm_fig3_jax
2.0,0.4857142857142857,16,1.028403716120748,klm_fig3_jax
2.0,0.4857142857142857,18,1.031365404892567,klm_fig3_jax
2.0,0.7085714285714286,14,0.9879333838489603,klm_fig3_jax
2.0,0.7085714285714286,16,1.0069286953429337,klm_fig3_jax
2.0,0.7085714285714286,18,0.9836573784772237,klm_fig3_jax
2.0,0.9314285714285715,14,0.9775047701776594,klm_fig3_jax
2.0,0.9314285714285715,16,1.0035774239989357,klm_fig3_jax
2.0,0.9314285714285715,18,1.0213437092479325,klm_fig3_jax
2.0,1.1542857142857144,14,1.0012772186552792,klm_fig3_jax
2.0,1.1542857142857144,16,1.0747886419879207,klm_fig3_jax
2.0,1.1542857142857144,18,1.005339142181922,klm_fig3_jax
2.0,1.3771428571428572,14,1.046253867593136,klm_fig3_jax
2.0,1.3771428571428572,16,0.998896164602204,klm_fig3_jax
2.0,1.3771428571428572,18,0.9250941768607268,klm_fig3_jax
2.0,1.6,14,1.0851997816058891,klm_fig3_jax
2.0,1.6,16,0.8736456227343099,klm_fig3_jax
2.0,1.6,18,0.8557230776872214,klm_fig3_jax
